date,state_name,state_code,district_name,district_code,awc_infra_dws,awc_infra_fun_toilets,awc_infra_own_buil,aadhar_verf_benf,adolescent_girls,awc_open_1day,awc_open_21day,aww,awc,children_0_6_months,children_3_6_years,children_6months_3years,children_awc_21days,children_3_6_years_nonschool,children_3_6_years_school,elgb_benef,health_id_created,hcm_1_6days,hcm_15_20days,hcm_7_14days,hcm_atleast_1day,hcm_atleast_15days,hcm_atleast_21days,lact_mothers,pregnant_women,project,sector,thm_atleast_1day,thm_atleast_21days
01-04-2023,Arunachal Pradesh,12,Tawang,238,4,1,10,887,0,181,66,197,199,141,1978,1606,370,1911,67,3955,2,405,296,226,1270,639,343,131,99,5,9,0,0
01-04-2023,Arunachal Pradesh,12,Tirap,239,0,0,3,98,0,84,2,213,265,28,696,628,11,648,48,1406,82,79,13,42,145,24,11,26,28,3,9,0,0
01-04-2023,Arunachal Pradesh,12,Upper Siang,240,3,4,5,836,0,153,40,201,201,93,1207,939,185,1130,77,2358,20,218,134,308,801,275,141,78,41,6,10,13,4
01-04-2023,Arunachal Pradesh,12,Upper Subansiri,241,3,3,4,318,0,101,6,212,227,72,757,617,35,616,141,1544,5,69,18,69,190,52,34,61,37,7,13,0,0
01-04-2023,Arunachal Pradesh,12,West Kameng,242,23,14,40,1335,0,251,43,306,311,137,2157,1821,228,2064,93,4373,230,468,155,372,1210,370,215,130,128,5,14,5,5
01-04-2023,Arunachal Pradesh,12,West Siang,243,6,2,9,501,0,163,27,407,592,89,1280,1170,110,1210,70,2618,17,331,131,186,731,214,83,44,35,10,23,0,0
01-04-2023,Assam,18,Bajali,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-04-2023,Assam,18,Baksa,616,52,25,128,96713,0,2530,758,2626,2636,4812,52680,39148,4396,51678,1002,105150,1753,10121,10448,11498,35400,13781,3333,4170,4340,8,112,3099,2728
01-04-2023,Assam,18,Barpeta,280,99,92,308,199166,0,2863,1041,2873,2914,11964,101676,82644,2872,99476,2200,217895,1434,11674,3941,6218,22551,4659,718,10920,10691,10,105,12779,12436
01-04-2023,Assam,18,Biswanath,705,67,37,120,73050,0,1788,122,1820,1839,3323,40356,28756,358,39757,599,78734,636,6038,866,3354,10258,866,0,2982,3317,7,67,1573,1546
